stk_flow,unit,waste,wst_oper,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
DOM,PC,W150103,RCY,FR	20.1 	20.9 	18.9 	12.9 	19.1 	25.2 	28.6 	28.4 	28.2 	31.6 	29.1 	30.8 
DOM,PC,W150103,RCY,HR	: 	: 	: 	: 	: 	: 	0.4 	1.9 	0.4 	3.1 	3 	2.9 
DOM,PC,W150103,RCY,HU	20.6 	19.7 	22.6 	23.4 	34.2 e	34.7 	18.1 	7.5 	18.1 	19.9 	20.1 	24.1 
DOM,PC,W150103,RCY,IE	77.1 	75.8 	76.7 s	79.1 	83.2 	92.8 	82.3 	81.6 	84.8 	85.4 	75 	74.3 
DOM,PC,W150103,RCY,IS	: 	: 	: 	: 	28.8 	61.1 	48.1 	: 	: 	60.9 	62.5 	22.7 
DOM,PC,W150103,RCY,IT	53.2 	53.8 	53.1 	57.7 	58.7 	55.2 	54.2 	55.9 	59 	60.3 	60 	60.1 
DOM,PC,W150103,RCY,LI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150103,RCY,LT	18.4 	32.1 	43.4 	39 	46.4 	47.4 	48.8 	20.3 	27.2 	24.8 	48.3 	33 
DOM,PC,W150103,RCY,LU	31.1 	31.1 	19.2 	14.4 	32.1 	34.4 	23.4 	51 	34.2 	40.3 	35 	23.6 
DOM,PC,W150103,RCY,LV	43.4 	24.2 	28.3 	22.3 	29.9 	35.4 	36.7 	36.4 	31.8 	35.1 	39.9 	38 
DOM,PC,W150103,RCY,MT	12.7 	3.9 	0.7 	2 	2.7 	0 	0.8 	1.5 	6.6 	3.4 	0 	0 
DOM,PC,W150103,RCY,NL	39.1 	31.7 	36.1 	37.6 	32.5 	30.5 	29.3 	21.8 	25.1 	48.2 	51.5 	72.7 
DOM,PC,W150103,RCY,NO	: 	: 	14.4 	10.4 	13.6 	8.5 	8.2 	8 	8.2 	8.4 	8.5 	16.9 
DOM,PC,W150103,RCY,PL	15.6 	47.8 	26.3 	23.1 	21 	27.2 	28.5 	21.9 	48.6 	50.5 	40.8 	32.4 
DOM,PC,W150103,RCY,PT	73.3 	71 	64.5 	65.3 	66 	78 	69.7 	98.5 	131.5 	86.5 	103.4 	89.9 
DOM,PC,W150103,RCY,RO	3.3 	8.6 	8.3 	13.2 	18.1 	32.5 	41.1 	28.9 	26.6 	28.8 	27.6 	30 
DOM,PC,W150103,RCY,SE	16.6 	16.6 	16.7 	18.6 	167.2 	136.1 	79.8 	59.9 	22.3 	21.5 	30.9 b	50.4 b
DOM,PC,W150103,RCY,SI	5.2 	21 	7.2 	11 	15.7 	15.6 	33.1 	15.1 	25.9 	19.3 	23.6 	32.2 
DOM,PC,W150103,RCY,SK	2.6 	4.7 	16.1 	8.7 	8.3 	26.3 	36.7 	36.4 	37.2 	42.1 	55.3 	47.2 
DOM,PC,W150103,RCY,UK	72.8 	76.5 	76.5 	76.9 	75.4 	58.7 	51.3 	42.3 	31.4 	28.6 	31 	30.8 
DOM,PC,W150104,RCY,AT	59.6 	67.1 	63.9 	61.4 	60.6 	62.1 	61.4 	87.5 	87 	87.2 	88.3 	85.6 
DOM,PC,W150104,RCY,BE	93.2 	91.4 	94 	95.4 	94.7 	97.4 	97.3 	97 	98.2 	98.1 	98.3 	98.5 
DOM,PC,W150104,RCY,BG	6.2 	0.2 	65.1 	50.5 	51.1 	69.9 	75.6 	69.8 	67.1 	69.2 	59.4 	73.4 
DOM,PC,W150104,RCY,CY	73.8 	70.1 	94.9 	98 	116.7 	88.8 	98.7 	70.7 	97.4 	72.3 	84.1 	119.8 
DOM,PC,W150104,RCY,CZ	47.1 	55.6 	42.9 	52 	64 	68 	69.2 	58.5 	65 	58.6 	63.4 	74.1 
DOM,PC,W150104,RCY,DE	88.8 	89.5 	91.7 	91.7 	92.7 	92.8 	92.3 	93.2 	92.5 	91.5 	91.6 	91.6 
DOM,PC,W150104,RCY,DK	64.2 	86.8 	81.9 	76.9 	76.9 e	58 b	51.8 	57 	71.3 	71.9 	87.7 	73.2 
DOM,PC,W150104,RCY,EE	52.5 	18.3 	25.6 	36.1 	60.9 	62.9 b	65.3 	58.4 	78 	68.4 	66.1 	67.7 
DOM,PC,W150104,RCY,EL	46.9 	50.7 	43.8 e	48.2 	41.9 	44.1 	38.2 	48.2 	58.8 	57.4 	61.7 	70.5 
DOM,PC,W150104,RCY,ES	62.3 	62.8 	67.8 	70.6 	70.7 	75.2 	78 	80.9 	81.1 	79.9 	82.6 	85.1 
DOM,PC,W150104,RCY,EU27_2020	68.1 s	69.5 s	69.7 s	72.6 s	74.6 s	75.7 s	76.6 	77.8 	78.5 	79.3 	80.2 	80.7 
DOM,PC,W150104,RCY,EU28	65.6 s	66.5 s	67.6 s	69.4 s	71.3 s	72.2 s	72.3 	74.2 	75.2 	76.1 	78.3 	79.2 
DOM,PC,W150104,RCY,FI	58.9 	70.3 	75.4 	84.3 	78 	79.9 	85.3 	81.8 	82.3 	83.5 	84.9 	87.8 
DOM,PC,W150104,RCY,FR	65.2 	64.4 	60.2 	64.3 	74.8 	73.6 	73.9 	75.8 	71.9 	77.2 	80.4 	84.9 
DOM,PC,W150104,RCY,HR	: 	: 	: 	: 	: 	: 	12.5 	12.2 	11.6 	13.9 	16.4 	16.5 
DOM,PC,W150104,RCY,HU	64.2 	65.2 	66.9 	68.7 	75.7 	83.5 	80.8 	94.6 	83.5 	79.7 	71.8 	70.4 
DOM,PC,W150104,RCY,IE	45.5 	67.6 	62 s	56.6 	59.5 	66.6 	75.8 	79.1 	80.5 	74.6 	70.1 	72 
DOM,PC,W150104,RCY,IS	: 	: 	: 	: 	32.4 	29 	57.1 	: 	: 	76.4 	75.5 	63.7 
DOM,PC,W150104,RCY,IT	63.9 	67.3 	68.4 	74.6 	71.3 	71 	73.6 	74.5 	72.7 	73 	75.6 	72 
DOM,PC,W150104,RCY,LI	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
DOM,PC,W150104,RCY,LT	59.6 	56.7 	62.1 	62.9 	69.1 	68.4 	67.2 	65.6 	66.6 	74.9 	77.3 	79.9 
DOM,PC,W150104,RCY,LU	78.2 	79.8 	79.4 	84.2 	79.4 	82.4 	82.4 	83.6 	84.8 	95 	95.6 	95.3 
DOM,PC,W150104,RCY,LV	35.1 	50 	68.4 	51.7 	74.6 	74.3 	57.8 	56.6 	51.8 	51 	59.8 	59 
DOM,PC,W150104,RCY,MT	7 	5.6 	12.4 	58.9 	33.4 	30.2 	41.5 	34.3 	39.1 	25.1 	30.1 	42.3 
DOM,PC,W150104,RCY,NL	81.3 	83.3 	86.3 	86.6 	88.2 	91.2 	90.7 	93.1 	93.5 	94.6 	95.2 	94.9 
DOM,PC,W150104,RCY,NO	66.5 	66.3 	79.1 	75.6 	77.5 	78.9 	79.4 	69.9 	77.8 	81.8 	83.5 	89.5 
DOM,PC,W150104,RCY,PL	43.8 	29.9 	37.5 	43.1 	45.9 	45.1 	46.9 	34.5 	52.9 	62 	59.4 	62.6 
DOM,PC,W150104,RCY,PT	61.5 	62.5 	64.8 	64.4 	72 	71 	72.3 	75.7 	58.3 	63.6 	42.9 	43.6 
DOM,PC,W150104,RCY,RO	77.2 	55.1 	51 	56.4 	65.7 	62.3 	55.5 	52.8 	64.2 	64.1 	62.1 	60.4 
DOM,PC,W150104,RCY,SE	70.8 	73.6 	71.3 	77.7 	75.7 	75.4 	74.4 	77.4 	76.5 	77.7 	81.5 	84.5 
DOM,PC,W150104,RCY,SI	19 	20.9 	21.4 	26.9 	32.9 	40.4 	41.6 	58.4 	50.8 	62.8 	71.2 	71.1 
DOM,PC,W150104,RCY,SK	23.8 	73.5 	55.8 	61.3 	40.6 	58.4 	67.8 	68.9 	70.8 	73.5 	80.4 	86.1 
DOM,PC,W150104,RCY,UK	53.1 	52 	56.9 	54.9 	55.9 	55.3 	52.1 	57.4 	58.2 	59.8 	68.7 	71.1 
DOM,PC,W150107,RCY,AT	84.5 	85.9 	84.3 	84.8 	83 	82.8 	82.9 	84.8 	84.5 	85.6 	85.2 	84.1 
DOM,PC,W150107,RCY,BE	99.8 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
DOM,PC,W150107,RCY,BG	76.9 	70.8 	47 	39.7 	51.2 	59.5 	60.5 	61.2 	63.2 	62.9 	69.8 	64 
DOM,PC,W150107,RCY,CY	7.6 	10.4 	17.7 	19.9 	25.2 	33.8 	32.4 	32.1 	32.2 	33.2 	39.4 	42.4 
DOM,PC,W150107,RCY,CZ	70.5 	64.6 	69.9 	71.2 	73.1 	74.4 	81.1 	75 	71.6 	72.6 	72.8 	75.1 
DOM,PC,W150107,RCY,DE	82.4 	83.7 	82.2 	82.5 	86.1 	88.4 	84.7 	88.7 	89 	85.2 	85.5 	84.4 
DOM,PC,W150107,RCY,DK	115.1 	128.4 	120.9 	174.2 	174.2 e	85.9 b	93.6 	93 	83.6 	79.5 	85 	94.9 
DOM,PC,W150107,RCY,EE	48.5 	62.1 	45.8 	89.9 	43.4 	65.4 	70.7 	71.5 	72.8 	62.1 	63.4 	61 
DOM,PC,W150107,RCY,EL	25.3 	18 	15 	15.2 	21.4 	36.9 	54.7 	28 	21.5 	29.4 	36.9 	36 
DOM,PC,W150107,RCY,ES	50.6 	55.8 	60 	56.5 	59.8 	64.4 	64.2 	67.4 	69.7 	70.4 	71.8 	72.2 
DOM,PC,W150107,RCY,EU27_2020	62.2 s	65.1 s	66.9 s	68.8 s	71.2 s	72.3 s	73.1 	73.4 	75.3 	74.2 	75.3 	75.9 
DOM,PC,W150107,RCY,EU28	60.5 s	63.6 s	66.1 s	67.6 s	69.4 s	70.9 s	72.3 	72.6 	74 	72.9 	74.1 	74.7 
DOM,PC,W150107,RCY,FI	74 	81.1 	79.8 	45.1 	61.3 	87.9 	77.6 	76.8 	81.4 	78.4 	89.8 	91.8 
DOM,PC,W150107,RCY,FR	59.5 	61.6 	62.7 	68.1 	69.8 	70.7 	73.5 	73.9 	74.6 	74.8 	76.1 	77.9 
DOM,PC,W150107,RCY,HR	: 	: 	: 	: 	: 	: 	62.8 	65.4 	63.5 	65.2 	56.4 	57 
DOM,PC,W150107,RCY,HU	20.7 	20.7 	27.8 	24.4 	35.4 	41.2 	34.2 	32.4 	36.3 	50.5 	34.6 	34.2 
