unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,TOTAL_HH,W077_08,BE	402487 	566498 	604681 	616274 	593962 	598924 	605192 
T,HAZ_NHAZ,TOTAL_HH,W077_08,BG	38969 	27999 	40516 	153725 	120976 	132660 	175719 
T,HAZ_NHAZ,TOTAL_HH,W077_08,CY	2088 	4933 	14825 	18885 	19952 	18137 	16102 
T,HAZ_NHAZ,TOTAL_HH,W077_08,CZ	43095 	49608 	40153 	51771 	69518 	79581 	111398 
T,HAZ_NHAZ,TOTAL_HH,W077_08,DE	1790439 	1929834 	1956048 	2528631 	2489447 	2465085 	2430604 
T,HAZ_NHAZ,TOTAL_HH,W077_08,DK	146674 	231050 	401715 	194753 	161422 	163136 	217808 
T,HAZ_NHAZ,TOTAL_HH,W077_08,EE	27634 	37851 	48954 	29176 	30269 	34312 	38121 
T,HAZ_NHAZ,TOTAL_HH,W077_08,EL	82006 	78550 	103446 	195683 	193228 	188460 	235350 
T,HAZ_NHAZ,TOTAL_HH,W077_08,ES	1094426 	1318889 	1515742 	963948 	1094760 	1202597 	1205540 
T,HAZ_NHAZ,TOTAL_HH,W077_08,EU27_2020	10310000 	15610000 	10910000 	14080000 	12350000 	12440000 	14040000 
T,HAZ_NHAZ,TOTAL_HH,W077_08,EU28	14060000 	19360000 	14130000 	17720000 	15540000 	15660000 	17830000 
T,HAZ_NHAZ,TOTAL_HH,W077_08,FI	195715 	328707 	79949 	254195 	224387 	212954 	214798 
T,HAZ_NHAZ,TOTAL_HH,W077_08,FR	2126260 	2234630 	2308230 	2630195 	2228258 	2218682 	2436602 
T,HAZ_NHAZ,TOTAL_HH,W077_08,HR	22820 	11947 	5569 	10129 	62588 	58078 	71130 
T,HAZ_NHAZ,TOTAL_HH,W077_08,HU	137381 	102283 	124955 	94232 	98453 	50066 	69452 
T,HAZ_NHAZ,TOTAL_HH,W077_08,IE	28773 	2575 	1594 	231758 	264640 	212874 	284709 
T,HAZ_NHAZ,TOTAL_HH,W077_08,IS	61353 	: 	89102 	6160 	8391 	10956 	13987 
T,HAZ_NHAZ,TOTAL_HH,W077_08,IT	2249937 	6216369 	1772855 	3754840 	2715974 	2661346 	3027334 
T,HAZ_NHAZ,TOTAL_HH,W077_08,LI	: 	: 	438 	271 	529 	531 	801 
T,HAZ_NHAZ,TOTAL_HH,W077_08,LT	30562 	46562 	44899 	58781 	70628 	82691 	68422 
T,HAZ_NHAZ,TOTAL_HH,W077_08,LU	8829 	12409 	16152 	18712 	14465 	7398 	14577 
T,HAZ_NHAZ,TOTAL_HH,W077_08,LV	3945 	11990 	54255 	28105 	20940 	25071 	20707 
T,HAZ_NHAZ,TOTAL_HH,W077_08,ME	: 	: 	: 	: 	2476 	1080 	1046 
T,HAZ_NHAZ,TOTAL_HH,W077_08,MK	: 	: 	26 	319 	767 	1220 	37488 
T,HAZ_NHAZ,TOTAL_HH,W077_08,MT	9112 	6555 	7580 	8622 	20168 	7772 	108425 
T,HAZ_NHAZ,TOTAL_HH,W077_08,NL	478944 	541070 	439184 	492761 	505800 	534410 	544177 
T,HAZ_NHAZ,TOTAL_HH,W077_08,NO	333666 	804279 	657238 	703349 	356649 	408039 	394482 
T,HAZ_NHAZ,TOTAL_HH,W077_08,PL	106594 	64939 	115158 	303004 	220006 	224452 	701192 
T,HAZ_NHAZ,TOTAL_HH,W077_08,PT	97297 	432896 	138235 	202433 	199785 	183083 	188679 
T,HAZ_NHAZ,TOTAL_HH,W077_08,RO	18115 s	28951 	99829 	224664 	133816 	132268 	134268 
T,HAZ_NHAZ,TOTAL_HH,W077_08,RS	: 	: 	: 	3091 	10048 	14388 	67425 
T,HAZ_NHAZ,TOTAL_HH,W077_08,SE	848715 	990883 	563030 	683828 	581217 	721671 	851131 
T,HAZ_NHAZ,TOTAL_HH,W077_08,SI	10602 	12351 	15848 	27690 	29674 	26359 	29199 
T,HAZ_NHAZ,TOTAL_HH,W077_08,SK	14770 	25191 	38202 	29307 	32553 	30911 	67732 
T,HAZ_NHAZ,TOTAL_HH,W077_08,TR	79792 	0 	8103 	11411 	14976 	13221 	35259 
T,HAZ_NHAZ,TOTAL_HH,W077_08,UK	3750085 	3747809 	3215497 	3641941 	3188021 	3224002 	3797556 
T,HAZ_NHAZ,TOTAL_HH,W077_08,XK	: 	: 	: 	: 	360 	23 	64055 
T,HAZ_NHAZ,TOTAL_HH,W09,AT	4013277 	2017912 	3711597 	1661218 	1892661 	1887723 	2064803 
T,HAZ_NHAZ,TOTAL_HH,W09,BA	: 	: 	: 	: 	42935 	: 	: 
T,HAZ_NHAZ,TOTAL_HH,W09,BE	6887338 	4389887 	4265806 	4822033 	4979571 	5654085 	6726241 
T,HAZ_NHAZ,TOTAL_HH,W09,BG	986073 	984288 	976507 	731091 	1129778 	983646 	972685 
T,HAZ_NHAZ,TOTAL_HH,W09,CY	317652 	180561 	199867 	201439 	53944 	68763 	74635 
T,HAZ_NHAZ,TOTAL_HH,W09,CZ	844616 	684100 	540638 	449880 	443134 	583264 	771848 
T,HAZ_NHAZ,TOTAL_HH,W09,DE	8179367 	12051569 	12231406 	12932869 	14086695 	15011037 	15623841 
T,HAZ_NHAZ,TOTAL_HH,W09,DK	165328 	186907 	165969 	973350 	864494 	1022008 	1133905 
T,HAZ_NHAZ,TOTAL_HH,W09,EE	520034 	299616 	287052 	280338 	83782 	149633 	151405 
T,HAZ_NHAZ,TOTAL_HH,W09,EL	5519059 	4779350 	137599 	444635 	491888 	575225 	1115124 
T,HAZ_NHAZ,TOTAL_HH,W09,ES	25590376 	20664875 	15647005 	9763484 	8297358 	8058640 	9135749 
T,HAZ_NHAZ,TOTAL_HH,W09,EU27_2020	125430000 	116720000 	103740000 	80130000 	76870000 	78220000 	84990000 
T,HAZ_NHAZ,TOTAL_HH,W09,EU28	135550000 	128740000 	116580000 	88280000 	85670000 	88220000 	95280000 
T,HAZ_NHAZ,TOTAL_HH,W09,FI	699584 	1074358 	1242875 	899527 	988318 	1079091 	1081332 
T,HAZ_NHAZ,TOTAL_HH,W09,FR	5533790 	6225650 	7590660 	9405994 	11281262 	11304163 	11812213 
T,HAZ_NHAZ,TOTAL_HH,W09,HR	321739 	283868 	109631 	119502 	132580 	395664 	614474 
T,HAZ_NHAZ,TOTAL_HH,W09,HU	5050902 	3359813 	1378997 	808058 	791369 	699238 	734568 
T,HAZ_NHAZ,TOTAL_HH,W09,IE	1743390 	1273962 	523117 	2079402 	1132318 	554285 	1219719 
T,HAZ_NHAZ,TOTAL_HH,W09,IS	107400 	: 	159873 	116899 	139063 	41388 	35191 
T,HAZ_NHAZ,TOTAL_HH,W09,IT	8760488 	9346007 	9405736 	9489613 	5785758 	6929296 	7852188 
T,HAZ_NHAZ,TOTAL_HH,W09,LI	: 	: 	18342 	19211 	2587 	9934 	9940 
T,HAZ_NHAZ,TOTAL_HH,W09,LT	1942089 	900947 	1061890 	535615 	578215 	551038 	402693 
T,HAZ_NHAZ,TOTAL_HH,W09,LU	96442 	97113 	91316 	88206 	84575 	95427 	146458 
T,HAZ_NHAZ,TOTAL_HH,W09,LV	241729 	203538 	144507 	166304 	137353 	105480 	143395 
T,HAZ_NHAZ,TOTAL_HH,W09,ME	: 	: 	: 	: 	1538 	45492 	61060 
T,HAZ_NHAZ,TOTAL_HH,W09,MK	: 	: 	6104 	19951 	5965 	91933 	5201 
T,HAZ_NHAZ,TOTAL_HH,W09,MT	9453 	12371 	15108 	15758 	16346 	16605 	20651 
T,HAZ_NHAZ,TOTAL_HH,W09,NL	11825391 	12289462 	13255112 	14587937 	14543476 	14718640 	15198735 
T,HAZ_NHAZ,TOTAL_HH,W09,NO	810909 	1081175 	1173097 	944728 	961529 	595319 	593482 
T,HAZ_NHAZ,TOTAL_HH,W09,PL	8542155 	8290718 	7123817 	5415948 	4861199 	3112616 	3190746 
T,HAZ_NHAZ,TOTAL_HH,W09,PT	2939162 	1187581 	526116 	256077 	211836 	188707 	216863 
T,HAZ_NHAZ,TOTAL_HH,W09,RO	22130143 s	22654875 	19837801 	1151577 	983593 	1063964 	863473 
T,HAZ_NHAZ,TOTAL_HH,W09,RS	: 	: 	: 	213482 	177480 	199453 	186970 
T,HAZ_NHAZ,TOTAL_HH,W09,SE	1550975 	1754330 	1788043 	1684156 	1841839 	2205186 	2379137 
T,HAZ_NHAZ,TOTAL_HH,W09,SI	108819 	296747 	256251 	264075 	309839 	289773 	266156 
T,HAZ_NHAZ,TOTAL_HH,W09,SK	905810 	1229045 	1224526 	903514 	863110 	920338 	1074418 
T,HAZ_NHAZ,TOTAL_HH,W09,TR	2063825 	0 	672719 	505934 	807984 	625270 	557851 
T,HAZ_NHAZ,TOTAL_HH,W09,UK	10121386 	12024979 	12842425 	8147227 	8801851 	9995263 	10291119 
T,HAZ_NHAZ,TOTAL_HH,W09,XK	: 	: 	: 	: 	22183 	3880 	235708 
T,HAZ_NHAZ,TOTAL_HH,W10,AT	3364591 	4163409 	2442340 	5144944 	4374198 	4435601 	4603530 
T,HAZ_NHAZ,TOTAL_HH,W10,BA	: 	: 	: 	: 	250342 	: 	: 
